weburl,tname01,tname02,tname03,oname,year,country,category01,category02,category03,director
http://www.ygdy8.net/html/gndy/dyzz/20091004/22009.html,地铁惊魂,骑劫地下铁,地铁劫案,The Taking Of Pelham 123,2009,美国/英国,犯罪,剧情,惊悚,托尼`斯科特
http://www.ygdy8.net/html/gndy/dyzz/20091004/22030.html,舞吧！昴,昴,芭蕾少女,Dance Subaru,2009,中国/日本/韩国/新加坡/中国香港,剧情,,,李志毅
http://www.ygdy8.net/html/gndy/dyzz/20091005/22042.html,名侦探柯南2009：漆黑的追迹者,名侦探柯南：剧场版第13部,,Detective Conan The Raven Chaser,2009,日本,动画,神秘,,山本泰一郎
http://www.ygdy8.net/html/gndy/dyzz/20091005/22043.html,热血高校2,乌鸦高校2,,Crows Zero 2,2009,日本,动作,,,三池崇史
http://www.ygdy8.net/html/gndy/dyzz/20091007/22073.html,窃听风云,,,Overheard,2009,中国香港,动作,剧情,惊悚,麦兆辉
http://www.ygdy8.net/html/gndy/dyzz/20091007/22074.html,麦兜响当当,麦兜`武当,,McDull Kung Fu Kindergarten,2009,中国/日本,动画,喜剧,,谢立文
http://www.ygdy8.net/html/gndy/dyzz/20091008/22089.html,别惹小孩,不给糖就杀人,,Trickr Treat,2008,加拿大/美国,喜剧,剧情,恐怖,迈克尔`道赫蒂
http://www.ygdy8.net/html/gndy/dyzz/20091008/22098.html,机器人9号,,,Number 9,2009,美国,动画,冒险,剧情,申`阿克
http://www.ygdy8.net/html/gndy/dyzz/20091008/22099.html,Laughing Gor之变节,Laughing哥前传,无间风云,Turning Point,2009,中国香港,动作,犯罪,剧情,邱礼涛
http://www.ygdy8.net/html/gndy/dyzz/20091009/22111.html,高中校长阴谋事件,高中校长暗杀事件,暗杀我的高中校长,Assassination Of A High School President,2008,美国,喜剧,,,布雷特`西蒙
http://www.ygdy8.net/html/gndy/dyzz/20091009/22112.html,鬼界超级混蛋,,,The Haunted World Of El Superbeasto,2009,美国,动作,动画,喜剧,Mr.
http://www.ygdy8.net/html/gndy/dyzz/20091009/22114.html,超人与蝙蝠侠：公众之敌,,,Superman Batman Public Enemies,2009,美国,剧情,动画,,Sam
http://www.ygdy8.net/html/gndy/dyzz/20091009/22123.html,皇家刺青,,,Huang Jia Ci Qing,2009,中国,喜剧,古装,,冯超
http://www.ygdy8.net/html/gndy/dyzz/20091009/22125.html,别惹小孩,不给糖就杀人,,Trickr Treat,2008,加拿大/美国,喜剧,剧情,恐怖,迈克尔`道赫蒂
http://www.ygdy8.net/html/gndy/dyzz/20091010/22151.html,特种部队：眼镜蛇的崛起,义勇群英之毒蛇风暴,百战英雄,G.I. Joe: The Rise of Cobra,2009,美国,动作,冒险,科幻,斯蒂芬`索莫斯
